filename,chroma_frequency,sp_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc,label
trap1057.wav,0.3867405354976654,2093.7465687653475,2319.6563418231513,4462.473016036184,0.08741443740325078,-0.7127674221992493,trap
trap1058.wav,0.36408400535583496,2116.7545517241992,2286.654338786331,4338.223767354392,0.0944113716621517,-2.178842782974243,trap
trap1059.wav,0.3877648413181305,2148.2824040319433,2384.8796273900107,4594.305552196208,0.09083618541989164,-0.7252358198165894,trap
trap106.wav,0.419779509305954,2177.411347148444,2157.1425400145918,4223.924458506675,0.08204863462654799,-8.111631393432617,trap
trap1060.wav,0.2833811640739441,1433.9042416279963,1392.5569019433913,2651.6672990639513,0.07918243880611456,-7.146844387054443,trap
trap1061.wav,0.3769140839576721,2156.198640235712,2322.2585857484737,4517.106019011223,0.0942639802631579,-1.419921875,trap
trap1062.wav,0.37896716594696045,2073.544768165731,2306.1347142067943,4363.273615881385,0.088021387625774,-1.2812949419021606,trap
trap1063.wav,0.3905599117279053,2111.2683781293827,2355.404859809612,4505.056091875484,0.08883544166021672,-0.8040305972099304,trap
trap1064.wav,0.3159172236919403,1760.8212358832886,1800.900342178225,3470.495681054083,0.08774398945433437,-4.979719638824463,trap
trap1065.wav,0.3531106114387512,1874.7499570837717,1982.6476245623417,3824.110209462074,0.08799644446594428,-3.445286273956299,trap
trap1066.wav,0.3883371651172638,2099.828877669013,2322.393876430954,4482.072897518382,0.08942576310952012,-0.8375816345214844,trap
trap1067.wav,0.35945606231689453,2102.78628092043,2278.499110847135,4314.940574811339,0.0935738861745356,-2.0053086280822754,trap
trap1068.wav,0.3970654010772705,2145.8529228682,2381.3030057232613,4579.42230885981,0.09101003168537151,-0.7326259613037109,trap
trap1069.wav,0.23101235926151276,1116.0467328624259,1343.700548954006,1954.2548495549536,0.05375780040634675,-22.4682559967041,trap
trap107.wav,0.344271719455719,1914.9941677317786,1896.5357304112597,3558.445149235681,0.09286565160603716,-9.892536163330078,trap
trap1070.wav,0.653579592704773,1844.4004851155669,2068.963898335301,3731.0274389875194,0.039861436967879256,5.200796604156494,trap
trap1071.wav,0.6004724502563477,1760.8040603456172,2047.7745815653013,3651.477920012577,0.03261431525735294,6.255443572998047,trap
trap1072.wav,0.685088038444519,1939.792265269693,2138.3576304283342,3948.792788856908,0.03664830446981424,5.638024806976318,trap
trap1073.wav,0.5289809107780457,1720.3563799933795,1916.8720101786585,3395.8627990155765,0.04709722087848297,-2.2191250324249268,trap
trap1074.wav,0.3938750922679901,1426.7271345344645,1654.9394173529893,2693.817044190209,0.04772533499419505,-10.918451309204102,trap
trap1075.wav,0.6374964118003845,1820.880920067613,2110.9882381361044,3775.3271711130997,0.034245446739551086,6.260567665100098,trap
trap1076.wav,0.6411842107772827,1681.0781571110163,1919.577678996357,3435.8458905766256,0.032689144736842105,5.79860782623291,trap
trap1077.wav,0.6700031757354736,2043.756247245385,2247.29569650388,4167.508132981811,0.04038297576431889,5.573391914367676,trap
trap1078.wav,0.33711495995521545,1283.1331490114108,1525.5413685130636,2368.78567627709,0.048633870694659444,-14.075234413146973,trap
trap1079.wav,0.5827855467796326,1824.50493144535,2019.1301536085725,3631.4613743832238,0.04442376765673375,0.9081478714942932,trap
trap108.wav,0.36746105551719666,1995.5377012024924,2302.3855143448122,4312.940586904992,0.084041063999613,1.6093255281448364,trap
